File_Name,Modality,Vocal_Channel ,Emotion,Emotional_Intensity,Statement,Repetition,Actor,Signal_Mean,Signal_StdDeviation,Rms_Vec_Mean,Rms_Vec_StdDeviation,Autocorrelation_Max,Autocorrelation_StdDeviation,Silence,Harmonic_Mean
03-01-08-02-02-01-01.wav, 03,01,08,02,02,01,01, 1.1875447e-06, 0.011375584, 6.764397e-08, 2.7739552e-05, 110780.72, 348606.4, 0.99999404, 0.007933082
03-01-08-01-01-01-01.wav, 03,01,08,01,01,01,01, 7.108059e-07, 0.005816383, 3.5603634e-08, 1.43903e-05, 34585.95, 106316.32, 0.99999386, 0.0070411456
03-01-05-01-02-01-01.wav, 03,01,05,01,02,01,01, 5.473159e-07, 0.012078933, 7.1826385e-08, 2.9454684e-05, 129893.25, 344931.1, 0.99999404, 0.011833446
03-01-06-01-02-02-01.wav, 03,01,06,01,02,02,01, 4.1370572e-07, 0.0074229017, 4.1753896e-08, 1.7604902e-05, 26077.555, 112605.414, 0.9999944, 0.01751966
03-01-06-02-01-02-01.wav, 03,01,06,02,01,02,01, 2.7843503e-06, 0.040174827, 1.9751623e-07, 8.908004e-05, 232374.98, 854431.5, 0.9999951, 0.009518733
03-01-05-02-01-01-01.wav, 03,01,05,02,01,01,01, 6.060078e-06, 0.08897248, 4.5164415e-07, 0.0002004588, 4038669.8, 2.6298696e+07, 0.99999493, 0.00803132
03-01-07-01-01-01-01.wav, 03,01,07,01,01,01,01, 3.556291e-07, 0.0044190083, 2.3785418e-08, 1.025215e-05, 15410.82, 106413.81, 0.99999464, 0.008773422
03-01-04-01-01-02-01.wav, 03,01,04,01,01,02,01, 1.1040898e-06, 0.0034804887, 2.0309582e-08, 8.407529e-06, 8077.537, 39863.58, 0.99999416, 0.01301896
03-01-04-02-02-02-01.wav, 03,01,04,02,02,02,01, 7.982455e-07, 0.009765837, 5.444227e-08, 2.3057957e-05, 45141.54, 210006.17, 0.9999944, 0.010750417
03-01-07-02-02-01-01.wav, 03,01,07,02,02,01,01, -1.15743624e-07, 0.019093856, 9.852654e-08, 4.3373282e-05, 284996.06, 1084353.6, 0.9999948, 0.00655558
03-01-03-02-02-02-01.wav, 03,01,03,02,02,02,01, 8.0125415e-07, 0.016335914, 8.643825e-08, 3.7577087e-05, 183850.97, 516225.6, 0.9999947, 0.009636437
03-01-03-01-01-02-01.wav, 03,01,03,01,01,02,01, 5.067758e-07, 0.008320299, 4.995182e-08, 2.0386524e-05, 35256.906, 113356.37, 0.999994, 0.016465902
03-01-02-02-01-01-01.wav, 03,01,02,02,01,01,01, 4.4048255e-07, 0.0024135583, 1.3576546e-08, 5.724362e-06, 5106.425, 29525.535, 0.9999944, 0.018373571
03-01-01-01-02-02-01.wav, 03,01,01,01,02,02,01, 9.176213e-07, 0.004886139, 3.2113448e-08, 1.2526344e-05, 33192.258, 102691.45, 0.99999344, 0.018057454
03-01-02-01-02-01-01.wav, 03,01,02,01,02,01,01, 6.6799396e-07, 0.0042945053, 2.5536854e-08, 1.0472196e-05, 16557.488, 42862.49, 0.99999404, 0.017160628
03-01-03-02-01-01-01.wav, 03,01,03,02,01,01,01, 5.7336518e-08, 0.011030527, 6.261061e-08, 2.627968e-05, 29393.914, 125841.086, 0.99999434, 0.008470996
03-01-03-01-02-01-01.wav, 03,01,03,01,02,01,01, 9.971255e-07, 0.006409171, 3.775198e-08, 1.5554915e-05, 23301.895, 76328.7, 0.9999941, 0.011788447
03-01-02-02-02-02-01.wav, 03,01,02,02,02,02,01, 1.1456477e-06, 0.0034109121, 1.7747242e-08, 7.780319e-06, 11278.307, 73455.2, 0.9999948, 0.0156009905
03-01-02-01-01-02-01.wav, 03,01,02,01,01,02,01, 8.1105213e-07, 0.003084727, 1.7833564e-08, 7.4169407e-06, 10837.885, 51494.285, 0.9999942, 0.017931024
03-01-01-01-01-01-01.wav, 03,01,01,01,01,01,01, 9.15e-07, 0.0040006237, 2.5231245e-08, 1.0046884e-05, 11933.33, 40892.3, 0.9999937, 0.015825074
03-01-08-02-01-02-01.wav, 03,01,08,02,01,02,01, 5.803595e-07, 0.016739048, 9.767707e-08, 4.0435243e-05, 102437.93, 497610.97, 0.99999416, 0.009615147
03-01-08-01-02-02-01.wav, 03,01,08,01,02,02,01, 8.5064863e-07, 0.006849814, 4.364129e-08, 1.7289609e-05, 36041.297, 90372.02, 0.9999936, 0.007181726
03-01-06-01-01-01-01.wav, 03,01,06,01,01,01,01, -7.923179e-07, 0.010111541, 5.739442e-08, 2.4090277e-05, 20807.29, 90764.695, 0.99999434, 0.020088827
03-01-05-01-01-02-01.wav, 03,01,05,01,01,02,01, 3.6203383e-07, 0.015829343, 8.3757726e-08, 3.6411788e-05, 155248.55, 758480.94, 0.9999947, 0.0059538437
03-01-05-02-02-02-01.wav, 03,01,05,02,02,02,01, -4.3241627e-05, 0.14970072, 7.0277963e-07, 0.00032435544, 11409143.0, 8.862904e+07, 0.9999953, 0.0036601669
03-01-06-02-02-01-01.wav, 03,01,06,02,02,01,01, 1.3818815e-05, 0.06285815, 3.2981035e-07, 0.00014398365, 4022073.2, 1.8498056e+07, 0.99999475, 0.009706689
03-01-04-01-02-01-01.wav, 03,01,04,01,02,01,01, 1.2742878e-06, 0.0030210516, 1.7964433e-08, 7.3668853e-06, 9390.166, 31357.338, 0.99999404, 0.008035303
03-01-07-01-02-02-01.wav, 03,01,07,01,02,02,01, 6.66408e-07, 0.0048916102, 2.6557943e-08, 1.1397752e-05, 18257.965, 58099.77, 0.9999946, 0.011244954
03-01-07-02-01-02-01.wav, 03,01,07,02,01,02,01, 2.7063462e-07, 0.020742537, 1.052935e-07, 4.6733712e-05, 272243.16, 1748952.6, 0.99999493, 0.004399436
03-01-04-02-01-01-01.wav, 03,01,04,02,01,01,01, 5.2784236e-07, 0.0047328523, 2.5921594e-08, 1.1076167e-05, 13571.578, 66149.016, 0.9999945, 0.01568889
03-01-02-01-02-02-01.wav, 03,01,02,01,02,02,01, 6.1028925e-07, 0.004514299, 2.7101871e-08, 1.1060951e-05, 23194.207, 65076.27, 0.999994, 0.019109776
03-01-01-01-02-01-01.wav, 03,01,01,01,02,01,01, 9.554485e-07, 0.0050836112, 3.2388602e-08, 1.283157e-05, 27666.799, 81040.016, 0.9999936, 0.015909482
03-01-02-02-01-02-01.wav, 03,01,02,02,01,02,01, 7.955225e-07, 0.0026411877, 1.3742536e-08, 6.024672e-06, 6566.838, 41085.758, 0.9999948, 0.0150518995
03-01-03-01-01-01-01.wav, 03,01,03,01,01,01,01, 6.885221e-07, 0.0071729105, 4.3063043e-08, 1.7575103e-05, 16173.313, 59841.586, 0.999994, 0.014803871
03-01-03-02-02-01-01.wav, 03,01,03,02,02,01,01, 1.0005234e-06, 0.017518913, 9.269847e-08, 4.0298466e-05, 95841.47, 393269.72, 0.9999947, 0.013019928
03-01-08-01-01-02-01.wav, 03,01,08,01,01,02,01, 9.4203256e-07, 0.0057502156, 3.6635544e-08, 1.4514104e-05, 19384.066, 77737.945, 0.9999936, 0.00835532
03-01-08-02-02-02-01.wav, 03,01,08,02,02,02,01, 5.899089e-07, 0.016182818, 1.031037e-07, 4.0847288e-05, 164987.45, 373109.66, 0.9999936, 0.011954514
03-01-07-02-02-02-01.wav, 03,01,07,02,02,02,01, 5.249438e-07, 0.01944116, 9.266107e-08, 4.2443222e-05, 86732.336, 351738.38, 0.99999523, 0.008038899
03-01-04-02-02-01-01.wav, 03,01,04,02,02,01,01, 5.144674e-07, 0.0083922865, 4.6784827e-08, 1.9814852e-05, 27853.447, 92444.016, 0.9999944, 0.0076302197
03-01-04-01-01-01-01.wav, 03,01,04,01,01,01,01, 2.4058292e-07, 0.0037387232, 2.0298689e-08, 8.711496e-06, 14130.679, 72685.28, 0.9999946, 0.01066057
03-01-07-01-01-02-01.wav, 03,01,07,01,01,02,01, 4.941129e-07, 0.005243498, 2.7981987e-08, 1.2112871e-05, 25632.988, 158360.38, 0.99999464, 0.008000487
03-01-05-02-01-02-01.wav, 03,01,05,02,01,02,01, 2.4495807e-06, 0.05375786, 2.562221e-07, 0.00011736231, 425646.56, 2047031.5, 0.99999523, 0.0042881356
03-01-06-02-01-01-01.wav, 03,01,06,02,01,01,01, -9.970549e-07, 0.031092461, 1.2942358e-07, 6.343591e-05, 134896.45, 716631.44, 0.9999958, 0.016221285
03-01-06-01-02-01-01.wav, 03,01,06,01,02,01,01, 5.1446904e-07, 0.008191196, 4.965405e-08, 2.016737e-05, 44393.98, 137074.81, 0.9999939, 0.024095608
03-01-05-01-02-02-01.wav, 03,01,05,01,02,02,01, 5.564921e-07, 0.018653274, 1.0398795e-07, 4.404206e-05, 293338.28, 916453.7, 0.9999944, 0.011368668
03-01-08-01-02-01-01.wav, 03,01,08,01,02,01,01, 9.494837e-07, 0.005932713, 3.4945156e-08, 1.4398464e-05, 44405.766, 104991.6, 0.9999941, 0.010425685
03-01-08-02-01-01-01.wav, 03,01,08,02,01,01,01, 8.359941e-07, 0.012245988, 7.423427e-08, 3.0150723e-05, 70238.92, 245360.92, 0.9999939, 0.010689792
03-01-04-02-01-02-01.wav, 03,01,04,02,01,02,01, 5.6339195e-07, 0.0086112935, 4.843831e-08, 2.042334e-05, 17110.746, 118902.5, 0.9999944, 0.007345619
03-01-07-02-01-01-01.wav, 03,01,07,02,01,01,01, 2.7843157e-07, 0.020727955, 1.0032594e-07, 4.5601977e-05, 156392.4, 959192.4, 0.9999952, 0.00552628
03-01-07-01-02-01-01.wav, 03,01,07,01,02,01,01, 1.1750245e-06, 0.0044532795, 2.3765013e-08, 1.0287424e-05, 13401.15, 41361.33, 0.99999464, 0.014085102
03-01-04-01-02-02-01.wav, 03,01,04,01,02,02,01, 9.200815e-07, 0.0039458983, 2.439313e-08, 9.8108e-06, 13845.782, 47682.94, 0.9999938, 0.010797734
03-01-06-02-02-02-01.wav, 03,01,06,02,02,02,01, -7.0680244e-08, 0.042862512, 2.2873844e-07, 9.9016805e-05, 1909042.5, 5253024.0, 0.99999464, 0.012658871
03-01-05-02-02-01-01.wav, 03,01,05,02,02,01,01, 6.2497124e-06, 0.056247156, 2.8322242e-07, 0.00012621586, 1656746.2, 5314681.5, 0.999995, 0.0042826566
03-01-05-01-01-01-01.wav, 03,01,05,01,01,01,01, 1.5790341e-05, 0.0150646, 8.10856e-08, 3.495015e-05, 56486.527, 243020.05, 0.99999464, 0.008007307
03-01-06-01-01-02-01.wav, 03,01,06,01,01,02,01, 4.510116e-07, 0.009289675, 5.321298e-08, 2.2233475e-05, 32931.832, 147745.25, 0.9999943, 0.013132461
03-01-01-01-01-02-01.wav, 03,01,01,01,01,02,01, 7.13779e-07, 0.0042833365, 2.6744022e-08, 1.0702923e-05, 15004.445, 55547.934, 0.99999374, 0.01707005
03-01-02-01-01-01-01.wav, 03,01,02,01,01,01,01, 8.108948e-07, 0.0029563222, 1.7413825e-08, 7.175003e-06, 8222.92, 37572.746, 0.9999941, 0.014193532
03-01-02-02-02-01-01.wav, 03,01,02,02,02,01,01, 4.5866648e-07, 0.0030998068, 1.5360591e-08, 6.900326e-06, 5454.9316, 24895.043, 0.99999505, 0.014654922
03-01-03-01-02-02-01.wav, 03,01,03,01,02,02,01, 1.517313e-06, 0.005991674, 3.3702833e-08, 1.421033e-05, 18984.945, 64452.645, 0.9999944, 0.01659683
03-01-03-02-01-02-01.wav, 03,01,03,02,01,02,01, 1.1852234e-07, 0.014462566, 8.284483e-08, 3.461417e-05, 81951.516, 463539.28, 0.9999943, 0.012030281
03-01-06-01-02-02-02.wav, 03,01,06,01,02,02,02, 3.8449164e-07, 0.014481635, 8.073205e-08, 3.419248e-05, 161662.36, 380716.7, 0.9999944, 0.003591444
03-01-05-01-02-01-02.wav, 03,01,05,01,02,01,02, -1.571576e-07, 0.013859806, 7.658168e-08, 3.2579093e-05, 194321.3, 443250.9, 0.99999446, 0.007984399
03-01-05-02-01-01-02.wav, 03,01,05,02,01,01,02, 1.1024815e-05, 0.042388767, 2.2620863e-07, 9.7921686e-05, 507620.16, 860678.2, 0.99999464, 0.008068662
03-01-06-02-01-02-02.wav, 03,01,06,02,01,02,02, 3.101142e-07, 0.030172853, 1.7283661e-07, 7.221469e-05, 165778.16, 920559.94, 0.9999943, 0.0036402536
03-01-04-01-01-02-02.wav, 03,01,04,01,01,02,02, -1.5934883e-07, 0.0055407244, 3.0614615e-08, 1.30239905e-05, 10832.838, 47496.24, 0.99999446, 0.005158863
03-01-07-01-01-01-02.wav, 03,01,07,01,01,01,02, -3.046977e-07, 0.0055089057, 3.126901e-08, 1.3124607e-05, 11424.109, 44240.844, 0.99999434, 0.0049386164
03-01-07-02-02-01-02.wav, 03,01,07,02,02,01,02, -1.4274946e-07, 0.012595634, 6.553642e-08, 2.87309e-05, 68143.86, 149451.8, 0.9999948, 0.0043547316
03-01-04-02-02-02-02.wav, 03,01,04,02,02,02,02, -6.346858e-07, 0.005573437, 3.163525e-08, 1.3278327e-05, 29611.299, 97905.07, 0.99999434, 0.0036267065
03-01-08-02-02-01-02.wav, 03,01,08,02,02,01,02, -1.2249223e-08, 0.01928897, 1.07531164e-07, 4.5542845e-05, 172435.72, 360244.9, 0.9999944, 0.008907775
03-01-08-01-01-01-02.wav, 03,01,08,01,01,01,02, 1.2726967e-07, 0.012050207, 7.09798e-08, 2.9245746e-05, 45865.895, 154663.75, 0.9999941, 0.011719597
03-01-03-02-02-02-02.wav, 03,01,03,02,02,02,02, 7.950323e-08, 0.023041576, 1.240224e-07, 5.345697e-05, 667935.8, 1345248.9, 0.99999464, 0.0056633665
03-01-03-01-01-02-02.wav, 03,01,03,01,01,02,02, -4.7498912e-07, 0.010873597, 6.1163924e-08, 2.5788844e-05, 42913.695, 138890.53, 0.9999944, 0.006668124
03-01-02-02-01-01-02.wav, 03,01,02,02,01,01,02, -9.952837e-07, 0.004857263, 2.4457277e-08, 1.08992235e-05, 19890.998, 185099.88, 0.999995, 0.005264171
03-01-02-01-02-01-02.wav, 03,01,02,01,02,01,02, -5.16955e-07, 0.0061786375, 3.3545696e-08, 1.43966545e-05, 28916.77, 71835.76, 0.9999946, 0.0076552564
03-01-01-01-02-02-02.wav, 03,01,01,01,02,02,02, -4.361368e-07, 0.008513607, 4.921932e-08, 2.0470208e-05, 69601.125, 154624.7, 0.9999942, 0.0061966237
03-01-03-02-01-01-02.wav, 03,01,03,02,01,01,02, 4.866594e-07, 0.031466138, 1.7699682e-07, 7.4628246e-05, 339305.3, 2337934.5, 0.9999944, 0.004706231
03-01-03-01-02-01-02.wav, 03,01,03,01,02,01,02, 2.3691547e-07, 0.012114872, 6.693961e-08, 2.847728e-05, 157601.11, 398720.97, 0.99999446, 0.004262153
